train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.76800001	0.5714286	0.908224	0.77168367	0.40070242	0.542068	0.13654801	-1.0	-1.0	-1.0	-1.0	8.65537548	26.0	0.0	1.0
0.61199999	0.5714286	0.843104	0.74681122	0.48507932	0.55291295	0.0	-1.0	-1.0	-1.0	-1.0	15.43335128	8.0	1.0	1.0
0.69199997	0.5714286	0.884832	0.74681122	0.43303779	0.54897678	0.0	-1.0	-1.0	-1.0	-1.0	22.18605065	17.0	2.0	1.0
0.62400001	0.5714286	0.846904	0.70982143	0.48024243	0.57113808	0.0	-1.0	-1.0	-1.0	-1.0	28.62768102	8.0	3.0	1.0
0.77999997	0.6785714	0.928624	0.79272959	0.37004641	0.50983661	0.37492637	-1.0	-1.0	-1.0	-1.0	37.48456979	34.0	4.0	1.0
0.74400002	0.5714286	0.90364	0.81760204	0.40921199	0.48071003	0.08064778	-1.0	-1.0	-1.0	-1.0	45.04735637	24.0	5.0	1.0
0.74400002	0.64285713	0.911368	0.78890306	0.39788622	0.51024425	0.21384973	-1.0	-1.0	-1.0	-1.0	53.59533095	27.0	6.0	1.0
0.616	0.60714287	0.845864	0.74681122	0.4790594	0.54531962	0.0	-1.0	-1.0	-1.0	-1.0	60.37137866	9.0	7.0	1.0
0.70916337	0.51851851	0.88523992	0.77914952	0.43512473	0.52656978	-0.23331413	-1.0	-1.0	-1.0	-1.0	67.24245214	17.0	8.0	1.0
0.61354584	0.5925926	0.84029619	0.78600823	0.48798576	0.50889558	0.0	-1.0	-1.0	-1.0	-1.0	73.47780395	8.0	9.0	1.0
